subj,task,attach_site,itemN,rt
1,window,low,1,410.7
1,window,low,2,391
1,window,low,3,313
1,window,low,4,509.4
1,window,low,5,336
1,window,low,6,353.9
1,window,low,7,493
1,window,low,8,349.2
1,window,low,9,733.4
1,window,low,10,349.6
1,window,low,11,327.5
1,window,low,12,312.3
1,window,high,13,488.5
1,window,high,14,350.6
1,window,high,15,372.1
1,window,high,16,405.2
1,window,high,17,407.4
1,window,high,18,291.5
1,window,high,19,360.4
1,window,high,20,353.2
1,window,high,21,733.4
1,window,high,22,354.6
1,window,high,23,373.7
1,window,high,24,387
2,window,low,1,319.8
2,window,low,2,724.1
2,window,low,3,975
2,window,low,4,533.1
2,window,low,5,488.1
2,window,low,6,853.4
2,window,low,7,324.9
2,window,low,8,212.1
2,window,low,9,473.9
2,window,low,10,289.2
2,window,low,11,420.5
2,window,low,12,265.5
2,window,high,13,369.3
2,window,high,14,353.7
2,window,high,15,584.8
2,window,high,16,975
2,window,high,17,574.7
2,window,high,18,485.2
2,window,high,19,388.1
2,window,high,20,339.6
2,window,high,21,674.7
2,window,high,22,281.5
2,window,high,23,465.9
2,window,high,24,271.2
3,window,low,1,162.5
3,window,low,2,309.6
3,window,low,3,468.9
3,window,low,4,534.5
3,window,low,5,381.1
3,window,low,6,163.6
3,window,low,7,712
3,window,low,8,188.1
3,window,low,9,184.3
3,window,low,10,192.8
3,window,low,11,368.4
3,window,low,12,188.1
3,window,high,14,444.6
3,window,high,15,403.6
3,window,high,16,417.7
3,window,high,17,265
3,window,high,18,227.7
3,window,high,19,422.2
3,window,high,20,149.8
3,window,high,21,172.7
3,window,high,22,734.5
3,window,high,23,1289.5
3,window,high,24,712
4,window,low,1,221.4
4,window,low,2,1190.6
4,window,low,3,493.3
4,window,low,4,353.2
4,window,low,5,281
4,window,low,6,1365.9
4,window,low,7,315.3
4,window,low,8,932.4
4,window,low,9,1093.3
4,window,low,10,326.1
4,window,low,11,249.7
4,window,low,12,288.5
4,window,high,13,3055.7
4,window,high,14,234.7
4,window,high,15,356.9
4,window,high,16,380.9
4,window,high,17,442.9
4,window,high,18,225.8
4,window,high,19,2446.9
4,window,high,20,257.9
4,window,high,21,218.1
4,window,high,22,3055.7
4,window,high,23,285
4,window,high,24,437.4
5,window,low,1,174.6
5,window,low,2,361.3
5,window,low,3,253.2
5,window,low,4,2000.8
5,window,low,5,269.4
5,window,low,6,874.5
5,window,low,7,524
5,window,low,8,315.2
5,window,low,9,741.3
5,window,low,10,1543.9
5,window,low,11,996
5,window,low,12,613.3
5,window,high,13,286.8
5,window,high,14,369.1
5,window,high,15,1979.3
5,window,high,16,1698.4
5,window,high,17,2409.4
5,window,high,18,254.5
5,window,high,19,1079
5,window,high,20,590.2
5,window,high,21,230
5,window,high,22,1616.5
5,window,high,23,267
5,window,high,24,329.9
6,window,low,1,294.3
6,window,low,2,229.8
6,window,low,3,389.5
6,window,low,4,250
6,window,low,5,376.5
6,window,low,6,278.8
6,window,low,7,249.7
6,window,low,8,211.4
6,window,low,9,272.9
6,window,low,10,178.9
6,window,low,11,268.2
6,window,low,12,289.6
6,window,high,13,354.7
6,window,high,14,309.6
6,window,high,15,206.4
6,window,high,16,280.4
6,window,high,17,343.5
6,window,high,18,172.1
6,window,high,19,233.2
6,window,high,20,205
6,window,high,21,338.1
6,window,high,22,273
6,window,high,23,458
6,window,high,24,191.9
7,window,low,1,522.2
7,window,low,2,278.6
7,window,low,3,725.6
7,window,low,4,429.5
7,window,low,5,519.7
7,window,low,6,486.5
7,window,low,7,725.6
7,window,low,8,554.2
7,window,low,9,527.3
7,window,low,10,273.4
7,window,low,11,404.7
7,window,low,12,489.4
7,window,high,13,416.1
7,window,high,14,249.7
7,window,high,15,322.8
7,window,high,16,294.5
7,window,high,17,351.1
7,window,high,18,349.4
7,window,high,19,287.3
7,window,high,20,380.1
7,window,high,21,467.6
7,window,high,22,314.9
7,window,high,23,451.9
7,window,high,24,357.8
8,window,low,1,489.4
8,window,low,2,482
8,window,low,3,384.6
8,window,low,4,520.4
8,window,low,5,272.9
8,window,low,6,233.6
8,window,low,7,390.8
